"GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"35136",0.2579,0.1918,0.2028,0.4969,0.2296,2018,"AL"
"35139",0.9874,0.5519,0.2154,0.0943,0.5142,2018,"AL"
"35143",0.3774,0.5236,0.1714,0.4937,0.3475,2018,"AL"
"35146",0.2421,0.2186,0.1588,0.2248,0.1352,2018,"AL"
"35147",0.0849,0.1352,0.6918,0.1399,0.0896,2018,"AL"
"35148",0.3962,0.9921,0.1635,0.4717,0.5314,2018,"AL"
"35149",0.5881,0.2421,0.4009,0.0629,0.1887,2018,"AL"
"35150",0.7531,0.8585,0.6588,0.8396,0.8836,2018,"AL"
"35151",0.6116,0.7972,0.4088,0.6588,0.7028,2018,"AL"
"35160",0.8475,0.6651,0.8553,0.9214,0.9292,2018,"AL"
"35171",0.4261,0.6494,0.7264,0.4481,0.5456,2018,"AL"
"35172",0.8821,0.2657,0.6745,0.4088,0.6321,2018,"AL"
"35173",0.0629,0.2579,0.6179,0.5314,0.2248,2018,"AL"
"35175",0.5755,0.3632,0.077,0.2909,0.2799,2018,"AL"
"35176",0.8601,0.2201,0,0.2327,0.327,2018,"AL"
"35178",0.6572,0.9544,0.2563,0.239,0.5535,2018,"AL"
"35179",0.4733,0.6101,0.3836,0.2862,0.4072,2018,"AL"
"35180",0.1509,0.2972,0.3333,0.5393,0.2579,2018,"AL"
"35183",0.1053,0.022,0.0346,0.1022,0.0142,2018,"AL"
"35184",0.4811,0.5503,0.1132,0.6997,0.4858,2018,"AL"
"35186",0.0755,0.3302,0.577,0.4277,0.1965,2018,"AL"
"35187",0,0.489,0,0,0.0094,2018,"AL"
"35188",0.3616,0.1855,0.1101,0.4167,0.206,2018,"AL"
"35203",0.8365,0.1667,0.8664,0.9041,0.8601,2018,"AL"
"35204",0.956,0.7186,0.9858,0.794,0.9717,2018,"AL"
"35205",0.3428,0.0346,0.9277,0.9717,0.6274,2018,"AL"
"35206",0.8381,0.8333,0.9811,0.8836,0.967,2018,"AL"
"35207",0.9638,1,0.8679,0.75,0.9906,2018,"AL"
"35208",0.7814,0.9135,0.9717,0.8616,0.9623,2018,"AL"
"35209",0.0802,0.0959,0.8255,0.7736,0.3585,2018,"AL"
"35210",0.2075,0.3805,0.9371,0.9104,0.6903,2018,"AL"
